,Calories,Calories from Fat,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Carbohydrates,Dietary Fiber,Sugars,Protein,Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value)
Calories,1.0,0.9045878034080987,0.904409157392784,0.8455636373196471,0.5224409156443288,0.5963991591663717,0.7123086892939092,0.7815394649448484,0.5388935076050452,0.2595981214640159,0.7878474518452038,0.10884403893939043,-0.06874703569399432,0.4284264596507916,0.64355160422737
Calories from Fat,0.9045878034080987,1.0,0.9996634955897415,0.8470075893098641,0.433686139385935,0.682161103865351,0.8466244111207326,0.4616722517236349,0.5812737882784271,-0.1152846946564677,0.8079132589493545,0.056730723445420544,-0.08733073089973017,0.16103408689659812,0.7358943110888447
Total Fat,0.904409157392784,0.9996634955897415,1.0,0.84670724472005,0.4314529030238229,0.6805473676673243,0.8461584213460124,0.4612134651326916,0.5808372533559369,-0.11544572832816685,0.8077729561203832,0.05443396215081169,-0.08935397430290525,0.16285951529292986,0.7346845141568472
Saturated Fat,0.8455636373196471,0.8470075893098641,0.84670724472005,1.0,0.6206106142765513,0.6312104675830911,0.5840752616122256,0.5912606345941018,0.35181784073756606,0.19773362307770465,0.6030275437573073,0.06497234213013943,-0.17967200466939523,0.4033107656144642,0.5780623747104574
Trans Fat,0.5224409156443288,0.433686139385935,0.4314529030238229,0.6206106142765513,1.0,0.2539345192590322,0.18758040330778875,0.46324990476795064,0.05491838723441014,0.33475578997339006,0.3882485025793163,0.07583346893597077,-0.07661213878382182,0.3853311036308707,0.32547588452543147
Cholesterol,0.5963991591663717,0.682161103865351,0.6805473676673243,0.6312104675830911,0.2539345192590322,1.0,0.6243618581650675,0.2709774709356131,0.43557480086686173,-0.13551831633736397,0.5615614117399177,0.08023904076417387,-0.08297821265257432,0.13207673822818133,0.6549995460172373
Sodium,0.7123086892939092,0.8466244111207326,0.8461584213460124,0.5840752616122256,0.18758040330778875,0.6243618581650675,1.0,0.20079561673505092,0.6943894554834724,-0.42653553249339665,0.8698015672713703,0.08306810407845133,-0.030769341183886086,-0.02407377496203426,0.8715926770956608
Carbohydrates,0.7815394649448484,0.4616722517236349,0.4612134651326916,0.5912606345941018,0.46324990476795064,0.2709774709356131,0.20079561673505092,1.0,0.2245766238054422,0.7623621448845459,0.35212223557892247,0.0838017111768473,-0.034724302252472306,0.5896987366041019,0.21024093454273957
Dietary Fiber,0.5388935076050452,0.5812737882784271,0.5808372533559369,0.35181784073756606,0.05491838723441014,0.43557480086686173,0.6943894554834724,0.2245766238054422,1.0,-0.2951784207626668,0.6413448345767541,0.3405183711508933,0.14193503024553042,0.028711079699260213,0.7404110351437427
Sugars,0.2595981214640159,-0.1152846946564677,-0.11544572832816685,0.19773362307770465,0.33475578997339006,-0.13551831633736397,-0.42653553249339665,0.7623621448845459,-0.2951784207626668,1.0,-0.17993964932372827,0.048487708489342515,-0.0698469839624912,0.6000929091904795,-0.36476707845065603
Protein,0.7878474518452038,0.8079132589493545,0.8077729561203832,0.6030275437573073,0.3882485025793163,0.5615614117399177,0.8698015672713703,0.35212223557892247,0.6413448345767541,-0.17993964932372827,1.0,0.21409799003242372,-0.04577680543516488,0.32797108597456653,0.7927194551593942
Vitamin A (% Daily Value),0.10884403893939043,0.056730723445420544,0.05443396215081169,0.06497234213013943,0.07583346893597077,0.08023904076417387,0.08306810407845133,0.0838017111768473,0.3405183711508933,0.048487708489342515,0.21409799003242372,1.0,0.0691711100219368,0.1791899439410469,0.13787902207785183
Vitamin C (% Daily Value),-0.06874703569399432,-0.08733073089973017,-0.08935397430290525,-0.17967200466939523,-0.07661213878382182,-0.08297821265257432,-0.030769341183886086,-0.034724302252472306,0.14193503024553042,-0.0698469839624912,-0.04577680543516488,0.0691711100219368,1.0,-0.21537980884384758,0.0012917405228226571
Calcium (% Daily Value),0.4284264596507916,0.16103408689659812,0.16285951529292986,0.4033107656144642,0.3853311036308707,0.13207673822818133,-0.02407377496203426,0.5896987366041019,0.028711079699260213,0.6000929091904795,0.32797108597456653,0.1791899439410469,-0.21537980884384758,1.0,0.03414874019662015
Iron (% Daily Value),0.64355160422737,0.7358943110888447,0.7346845141568472,0.5780623747104574,0.32547588452543147,0.6549995460172373,0.8715926770956608,0.21024093454273957,0.7404110351437427,-0.36476707845065603,0.7927194551593942,0.13787902207785183,0.0012917405228226571,0.03414874019662015,1.0
